time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,f16_aero_fx,f16_aero_fy,f16_aero_fz,f16_aero_mx,f16_aero_my,f16_aero_mz,f16_engine_fx,f16_engine_fy,f16_engine_fz,f16_engine_mx,f16_engine_my,f16_engine_mz
1.02,152.51653,0,-2998.6828,149.10899,0,2.2681169,0,0.062791823,0,0,0.13962419,0,0.0021811927,0,0,0.035522142,0.016208632,0,0,0.061905975,0,0,0.078001784,0,0.45383851,149.12624,2998.6828,9295.48,467.39523,nan,nan,0,3000,150,10111.658,-1136.512,0,-121971.52,0,-14756.026,0,467.39523,0,0,0,0,0
1.05,156.98941,0,-2998.6162,149.08097,0,2.163751,0,0.066891733,0,0,0.13298341,0,0.01059558,0,0,0.037133219,0.023529225,0,0,0.064212576,0,0,0.081404645,0,0.45374815,149.09667,2998.6162,9295.48,509.1969,nan,nan,0,3000,150,10107.718,-1194.1429,0,-125787.59,0,-18951.346,0,509.1969,0,0,0,0,0
1.08,161.46142,0,-2998.5529,149.05051,0,2.0480671,0,0.07076988,0,0,0.12476649,0,0.018257164,0,0,0.038790254,0.029898591,0,0,0.066689092,0,0,0.084509774,0,0.45365013,149.06458,2998.5529,9295.48,552.47034,nan,nan,0,3000,150,10103.433,-1259.1459,0,-129032.63,0,-22664.788,0,552.47034,0,0,0,0,0
1.11,165.93248,0,-2998.4932,149.01774,0,1.9229512,0,0.07438175,0,0,0.11517509,0,0.025060632,0,0,0.040500197,0.035266423,0,0,0.069326009,0,0,0.08728521,0,0.453545,149.03014,2998.4932,9295.48,597.25111,nan,nan,0,3000,150,10098.827,-1328.0519,0,-131681.27,0,-25843.536,0,597.25111,0,0,0,0,0
1.14,170.40254,0,-2998.4374,148.98307,0,1.7903602,0,0.077688923,0,0,0.10440417,0,0.030927282,0,0,0.042268638,0.039579305,0,0,0.072096758,0,0,0.089705549,0,0.45343419,148.99383,2998.4374,9295.48,643.5802,nan,nan,0,3000,150,10093.964,-1257.6914,0,-133701.48,0,-28571.691,0,643.5802,0,0,0,0,0
1.17,174.87153,0,-2998.3856,148.94697,0,1.6522659,0,0.080658847,0,0,0.092669663,0,0.035793537,0,0,0.044098938,0.042815382,0,0,0.074972981,0,0,0.091751373,0,0.45331917,148.95613,2998.3856,9295.48,691.50403,nan,nan,0,3000,150,10088.911,-1210.141,0,-135115,0,-30660.406,0,691.50403,0,0,0,0,0
1.2,179.33941,0,-2998.338,148.90963,0,1.5106035,0,0.083266171,0,0,0.080225543,0,0.039633728,0,0,0.045993211,0.045012085,0,0,0.077940673,0,0,0.093410254,0,0.4532007,148.91729,2998.338,9295.48,741.07497,nan,nan,0,3000,150,10083.699,-1183.8307,0,-135933.07,0,-32111.125,0,741.07497,0,0,0,0,0
1.23,183.80617,0,-2998.2947,148.87129,0,1.3672512,0,0.085493121,0,0,0.067321419,0,0.042455514,0,0,0.047952581,0.046222703,0,0,0.080984318,0,0,0.094676979,0,0.4530796,148.87757,2998.2947,9295.48,792.34604,nan,nan,0,3000,150,10078.366,-1177.3801,0,-136178.04,0,-32944.673,0,792.34604,0,0,0,0,0
1.26,188.27176,0,-2998.2557,148.83223,0,1.2239993,0,0.087329272,0,0,0.05419597,0,0.044290605,0,0,0.049977168,0.046511771,0,0,0.084087567,0,0,0.095553108,0,0.45295671,148.83726,2998.2557,9295.48,845.3694,nan,nan,0,3000,150,10072.95,-1189.4837,0,-135880.96,0,-33195.409,0,845.3694,0,0,0,0,0
1.29,192.73618,0,-2998.2209,148.7927,0,1.0825253,0,0.088771153,0,0,0.041072433,0,0.04518794,0,0,0.052066126,0.045951654,0,0,0.087233842,0,0,0.096046418,0,0.4528329,148.79664,2998.2209,9295.48,900.19492,nan,nan,0,3000,150,10067.488,-1218.8474,0,-135079.74,0,-32906.882,0,900.19492,0,0,0,0,0
1.32,197.1994,0,-2998.1904,148.75298,0,0.9443752,0,0.089821737,0,0,0.028155585,0,0.045208678,0,0,0.054217694,0.044619991,0,0,0.090406877,0,0,0.096170265,0,0.45270899,148.75598,2998.1904,9295.48,956.86884,nan,nan,0,3000,150,10062.018,-1264.157,0,-133817.51,0,-32128.605,0,956.86884,0,0,0,0,0
1.35,201.66144,0,-2998.1639,148.71333,0,0.81094942,0,0.090489858,0,0,0.015629848,0,0.044422476,0,0,0.05642929,0.042597745,0,0,0.093591177,0,0,0.095942909,0,0.45258577,148.71554,2998.1639,9295.48,1015.4326,nan,nan,0,3000,150,10056.575,-1324.0667,0,-132141.23,0,-30913.653,0,1015.4326,0,0,0,0,0
1.38,206.12228,0,-2998.1414,148.67398,0,0.68349315,0,0.090789586,0,0,0.0036582252,0,0.042904707,0,0,0.058697611,0.039967713,0,0,0.096772388,0,0,0.095386815,0,0.45246395,148.67555,2998.1414,9295.48,1075.9216,nan,nan,0,3000,150,10051.191,-1397.1984,0,-130100.53,0,-29316.864,0,1075.9216,0,0,0,0,0
1.41,210.58196,0,-2998.1226,148.63516,0,0.56308978,0,0.090739575,0,0,-0.0076181371,0,0.040734352,0,0,0.061018754,0.03681333,0,0,0.099937585,0,0,0.094527959,0,0.45234417,148.63623,2998.1226,9295.48,1138.3649,nan,nan,0,3000,150,10045.894,-1482.1463,0,-127746.67,0,-27393.504,0,1138.3649,0,0,0,0,0
1.44,215.04048,0,-2998.1073,148.59706,0,0.45065751,0,0.090362407,0,0,-0.018079924,0,0.037992379,0,0,0.063388339,0.033217709,0,0,0.10307547,0,0,0.093395146,0,0.45222698,148.59775,2998.1073,9295.48,1202.784,nan,nan,0,3000,150,10040.709,-1577.4838,0,-125131.64,0,-25198.266,0,1202.784,0,0,0,0,0
1.47,219.49787,0,-2998.0953,148.55986,0,0.34694861,0,0.089683942,0,0,-0.02762928,0,0.034760464,0,0,0.065801637,0.02926283,0,0,0.10617649,0,0,0.092019351,0,0.45211283,148.56026,2998.0953,9295.48,1269.1926,nan,nan,0,3000,150,10035.657,-1681.7711,0,-122307.34,0,-22784.517,0,1269.1926,0,0,0,0,0
1.5,223.95415,0,-2998.0862,148.52367,0,0.25255091,0,0.088732683,0,0,-0.036189171,0,0.031119955,0,0,0.068253693,0.025028841,0,0,0.10923286,0,0,0.090433089,0,0.45200209,148.52389,2998.0862,9295.48,1337.5969,nan,nan,0,3000,150,10030.752,-1793.5613,0,-119324.94,0,-20203.737,0,1337.5969,0,0,0,0,0
1.53,228.40937,0,-2998.0798,148.48863,0,0.16789122,0,0.08753916,0,0,-0.04370256,0,0.027151017,0,0,0.070739445,0.020593435,0,0,0.11223859,0,0,0.088669826,0,0.45189503,148.48872,2998.0798,9295.48,1407.9945,nan,nan,0,3000,150,10026.009,-1911.4074,0,-116234.22,0,-17505.095,0,1407.9945,0,0,0,0,0
