time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_table_aero_fx,rocket_table_aero_fy,rocket_table_aero_fz,rocket_table_aero_mx,rocket_table_aero_my,rocket_table_aero_mz,tabulated_thrust_fx,tabulated_thrust_fy,tabulated_thrust_fz,tabulated_thrust_mx,tabulated_thrust_my,tabulated_thrust_mz
1.2,6.2127225,-1.5416722,-107.17195,5.1898992,-3.4482673,-134.84671,-1.6304046,1.5279751,-1.6321561,2.9090633e-17,0.034608979,-0.013298144,0.0072197341,-5.8368414e-19,-0.0011320217,0.91007874,0.0061822528,-5.8181267e-19,-0.0006649072,1,0,0,0.0040281611,0.0023661246,0.39706929,134.95687,107.17195,79.0014,7531.5417,1.4835299,0,0,nan,nan,11041.355,-469.66977,-79.658343,-176.23581,-7.7596592e-18,-388.47221,168.63762,7531.5417,0,0,0,0,0
1.24,6.4184027,-1.6832658,-112.62617,5.0889712,-3.6404934,-138.02275,-1.6466825,1.5276778,-1.648449,2.8860534e-17,-0.00021156856,0.0012900354,0.0056123918,-5.7989404e-19,-0.00043010057,0.91700553,0.0044528387,-5.7721068e-19,6.4501768e-05,1,0,0,0.0039843113,0.0021518465,0.40645382,138.13798,112.62617,78.80108,7525.9833,1.4835299,0,0,nan,nan,11561.939,-490.91029,-71.340643,-170.56335,-7.88362e-18,-370.80901,148.979,7525.9833,0,0,0,0,0
1.28,6.6201992,-1.8324225,-118.20736,5.000575,-3.824353,-141.19426,-1.6331859,1.528002,-1.6349399,2.8673228e-17,-0.029869872,0.012681861,0.0040392862,-5.7601651e-19,0.00022480027,0.92339874,0.0030312648,-5.7346455e-19,0.00063409306,1,0,0,0.002743823,0.0014838336,0.4158261,141.31434,118.20736,78.60136,7520.425,1.4835299,0,0,nan,nan,12093.266,-513.32546,-47.429898,-124.70764,-8.0419839e-18,-271.34025,97.222269,7520.425,0,0,0,0,0
1.32,6.8190532,-1.988643,-123.91532,4.9464305,-3.9919354,-144.36131,-1.5965209,1.5287112,-1.5982419,2.8541285e-17,-0.048107136,0.018579157,0.0028538899,-5.7253399e-19,0.00068952969,0.92929947,0.0022119721,-5.7082571e-19,0.00092895785,1,0,0,0.0007828085,0.00058790029,0.42518522,144.48562,123.91532,78.40184,7514.8667,1.4835299,0,0,nan,nan,12635.189,-536.31337,-15.365889,-52.671927,-8.2291877e-18,-119.76539,28.827147,7514.8667,0,0,0,0,0
1.36,7.0165923,-2.1512028,-129.74987,4.9379944,-4.1403276,-147.52372,-1.5475264,1.5294711,-1.5492048,2.8541983e-17,-0.051895311,0.01825641,0.0022872483,-5.7035376e-19,0.00087858297,0.93474565,0.0021197944,-5.7083967e-19,0.0009128205,1,0,0,-0.0013114157,-0.00028524825,0.43453019,147.65146,129.74987,78.20232,7509.3083,1.4835299,0,0,nan,nan,13187.548,-559.25565,15.942125,25.466993,-8.4039223e-18,42.042595,-37.477011,7509.3083,0,0,0,0,0
1.4,7.2146644,-2.3193598,-135.71083,4.9740528,-4.2716659,-150.68127,-1.4998618,1.530017,-1.5015,2.8401449e-17,-0.042128556,0.012586381,0.0023998829,-5.688903e-19,0.00078207191,0.93977231,0.0026887882,-5.6802897e-19,0.00062931907,1,0,0,-0.0029933052,-0.00092161395,0.44386063,150.81174,135.71083,78.0028,7503.75,1.4835299,0,0,nan,nan,13750.217,-582.35758,39.161495,88.871168,-8.5110785e-18,170.97337,-85.64772,7503.75,0,0,0,0,0
1.44,7.4148388,-2.49254,-141.79799,5.0417757,-4.3922994,-153.83335,-1.4661615,1.5302393,-1.4677719,2.8137073e-17,-0.023244383,0.003765223,0.003076244,-5.6575247e-19,0.00046260649,0.94441175,0.0036880764,-5.6274146e-19,0.00018826115,1,0,0,-0.0038964947,-0.0011939426,0.45317561,153.96611,141.79799,77.80328,7498.1917,1.4835299,0,0,nan,nan,14323.032,-605.99295,48.412229,121.80777,-8.5936967e-18,234.85147,-103.58457,7498.1917,0,0,0,0,0
1.48,7.6180143,-2.6704803,-148.01112,5.1210702,-4.5111238,-156.97933,-1.4535223,1.5301567,-1.4551223,2.7917728e-17,-0.0018149648,-0.005265029,0.004063463,-5.6140047e-19,3.837586e-05,0.94869381,0.0047902932,-5.5835455e-19,-0.00026325145,1,0,0,-0.0039167644,-0.0010921612,0.4624745,157.11435,148.01112,77.60376,7492.6333,1.4835299,0,0,nan,nan,14905.843,-630.19718,42.183401,118.25232,-8.7053176e-18,221.9758,-88.587041,7492.6333,0,0,0,0,0
1.52,7.8242476,-2.8532763,-154.34996,5.1910091,-4.6366301,-160.11869,-1.4612911,1.5298444,-1.4628976,2.7704625e-17,0.015509979,-0.011771409,0.0050471415,-5.5705804e-19,-0.00035286857,0.95264601,0.005668748,-5.5409249e-19,-0.00058857047,1,0,0,-0.0032157695,-0.00071588404,0.47175678,160.25628,154.34996,77.4048,7487.075,1.4835299,0,0,nan,nan,15498.503,-654.94902,24.153669,83.594222,-8.8317802e-18,144.58817,-48.782283,7487.075,0,0,0,0,0
1.56,8.0328464,-3.0413101,-160.81425,5.2363242,-4.7741396,-163.25096,-1.4822872,1.5293973,-1.4839114,2.7498952e-17,0.024066539,-0.014113693,0.0057464854,-5.5307537e-19,-0.00059815235,0.95629377,0.006097699,-5.4997904e-19,-0.00070568466,1,0,0,-0.0021446464,-0.0002320914,0.48102166,163.39162,160.81425,77.2064,7481.5167,1.4835299,0,0,nan,nan,16100.847,-680.17599,1.627775,32.607111,-8.966432e-18,34.483012,0.12992891,7481.5167,0,0,0,0,0
1.6,8.2426893,-3.2350913,-167.40368,5.2517931,-4.9243546,-166.37584,-1.5063902,1.5289318,-1.5080354,2.7289408e-17,0.022543209,-0.012201192,0.0060002156,-5.4898494e-19,-0.00064409196,0.95966054,0.006020801,-5.4578815e-19,-0.00061005962,1,0,0,-0.0011131977,0.00018559852,0.49026829,166.52006,167.40368,77.008,7475.9583,1.4835299,0,0,nan,nan,16712.697,-705.77854,-17.356252,-15.847586,-9.0966543e-18,-68.278846,40.877093,7475.9583,0,0,0,0,0
1.64,8.4526557,-3.4350715,-174.11797,5.2429953,-5.083662,-169.49319,-1.5245467,1.5285708,-1.526208,2.7006641e-17,0.013152608,-0.0073732006,0.0058114774,-5.4390747e-19,-0.00050910631,0.96276796,0.0055585647,-5.4013281e-19,-0.00036866003,1,0,0,-0.00044988432,0.00041399432,0.49949589,169.64132,174.11797,76.8096,7470.4,1.4835299,0,0,nan,nan,17333.877,-731.6633,-26.925824,-45.575737,-9.1910708e-18,-129.70701,60.808485,7470.4,0,0,0,0,0
1.68,8.6620101,-3.6415019,-180.95681,5.2232206,-5.2459013,-172.60305,-1.5315392,1.5283957,-1.5332067,2.6766548e-17,0.00054242005,-0.0017886543,0.0053327324,-5.3876835e-19,-0.00026975803,0.96563601,0.0049500065,-5.3533096e-19,-8.9432713e-05,1,0,0,-0.00030155331,0.0004146453,0.50870391,172.75522,180.95681,76.6112,7464.8417,1.4835299,0,0,nan,nan,17964.226,-757.7736,-25.160491,-48.725997,-9.2845969e-18,-133.85474,55.89003,7464.8417,0,0,0,0,0
1.72,8.8706083,-3.8543772,-187.9199,5.2077828,-5.404827,-175.70552,-1.5269293,1.5284035,-1.5285927,2.6532777e-17,-0.010131285,0.0024222015,0.0047963997,-5.3396189e-19,-2.794476e-05,0.96828313,0.00445283,-5.3065554e-19,0.00012111007,1,0,0,-0.00060695253,0.00023558858,0.51789197,175.8616,187.9199,76.4128,7459.2833,1.4835299,0,0,nan,nan,18603.587,-784.10474,-14.382542,-28.141385,-9.3662154e-18,-87.653868,31.438362,7459.2833,0,0,0,0,0
1.76,9.0788609,-4.0734776,-195.00696,5.2080212,-5.5563817,-178.80058,-1.5144249,1.5285127,-1.516077,2.6287552e-17,-0.015201562,0.0039365314,0.0044202919,-5.2914646e-19,0.0001283398,0.97072633,0.0042439869,-5.2575104e-19,0.00019682657,1,0,0,-0.0011494725,-1.7910241e-05,0.5270596,178.96031,195.00696,76.2146,7453.725,1.4835299,0,0,nan,nan,19251.799,-810.69813,-0.0077370767,4.5758655,-9.434457e-18,-16.581243,-0.45538342,7453.725,0,0,0,0,0
