time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
3,176.12033,2.714564,-898.73736,57.636199,1.9877577,0.28663777,0.067677214,0.018917108,-0.040833656,-0.021353596,0.0066765993,0.013889602,-0.027005683,-0.0021342304,0.0070254823,0.12561742,-0.027003297,-0.0021766643,0.0069448011,0.15267471,0,0,0.023431439,0.0075386698,0.17122133,57.672028,898.73736,1200,354.54823,nan,nan,0,900,60,1867.1766,-916.46978,-49.877325,-12186.329,0.042508549,-5.9746623,-10.357309,354.54823,0,0,0,0,0
3.1,181.88095,2.9165003,-898.71018,57.573277,2.0539264,0.2556136,0.065571316,0.019475843,-0.039423005,-0.021274053,0.0063385488,0.013485043,-0.027000233,-0.0022098035,0.0068334977,0.13109888,-0.026997808,-0.0022365906,0.0067425213,0.15829893,0,0,0.0234927,0.0071907591,0.1710274,57.606725,898.71018,1200,370.02003,nan,nan,0,900,60,1862.9554,-913.80698,-46.721598,-12166.562,2.1849755,-5.5415815,-11.35555,370.02003,0,0,0,0,0
3.2,187.63532,3.1249534,-898.68603,57.511174,2.1179895,0.22612837,0.063480708,0.020007645,-0.038057581,-0.021043192,0.0060240156,0.013049581,-0.026995275,-0.0022534936,0.0066226875,0.13660792,-0.026993284,-0.0022670766,0.0065247906,0.16393889,0,0,0.0235503,0.0068544991,0.17083639,57.542404,898.68603,1200,385.56967,nan,nan,0,900,60,1858.802,-911.21462,-43.825132,-12146.741,3.9070303,-5.148367,-11.990593,385.56967,0,0,0,0,0
3.3,193.38352,3.3397132,-898.66476,57.449928,2.1799592,0.19817608,0.061418896,0.020514705,-0.03673959,-0.020691868,0.0057310349,0.012595626,-0.026991702,-0.0022704816,0.0063998479,0.14214216,-0.026990486,-0.0022730886,0.006297813,0.16959219,0,0,0.02360629,0.0065326344,0.17064839,57.479093,898.66476,1200,401.19038,nan,nan,0,900,60,1854.7178,-908.67359,-41.180245,-12127.138,5.2594663,-4.7927144,-12.328713,401.19038,0,0,0,0,0
3.4,199.12564,3.5605716,-898.64621,57.389577,2.2398619,0.17173161,0.059396511,0.020998928,-0.035470132,-0.02024706,0.0054577194,0.012133248,-0.026990142,-0.002265459,0.0061705382,0.14769919,-0.026989934,-0.0022590947,0.0060666238,0.17525645,0,0,0.023662206,0.0062269361,0.17046347,57.416819,898.64621,1200,416.87541,nan,nan,0,900,60,1850.7045,-906.16978,-38.774818,-12107.961,6.2909482,-4.4719516,-12.428205,416.87541,0,0,0,0,0
3.5,204.86177,3.7873234,-898.63024,57.330153,2.2977353,0.14675568,0.057421686,0.021461968,-0.034249426,-0.019732063,0.0052022834,0.011670471,-0.026991006,-0.0022426174,0.0059392301,0.15327664,-0.026991952,-0.0022290612,0.0058352356,0.18092936,0,0,0.023719159,0.0059383911,0.17028171,57.355608,898.63024,1200,432.61801,nan,nan,0,900,60,1846.7635,-903.69313,-36.593724,-12089.359,7.0471761,-4.1832676,-12.339724,432.61801,0,0,0,0,0
3.6,210.592,4.019768,-898.61669,57.271691,2.3536259,0.12319881,0.055500408,0.021905264,-0.033076993,-0.019166746,0.0049630574,0.011213555,-0.026994536,-0.0022056536,0.0057094488,0.15887213,-0.026996713,-0.0021864657,0.0056067774,0.18660867,0,0,0.023777916,0.0056673657,0.17010318,57.295482,898.61669,1200,448.41152,nan,nan,0,900,60,1842.896,-901.23691,-34.619994,-12071.437,7.5703429,-3.9238514,-12.106766,448.41152,0,0,0,0,0
3.7,216.31643,4.2577096,-898.60544,57.21422,2.4075862,0.10100457,0.053636849,0.022330064,-0.031951822,-0.018567829,0.004738495,0.010767246,-0.027000836,-0.0021577882,0.0054839068,0.16448333,-0.027004265,-0.0021343192,0.0053836228,0.19229219,0,0,0.023838966,0.0054137461,0.16992794,57.236465,898.60544,1200,464.24932,nan,nan,0,900,60,1839.1035,-898.79699,-32.835737,-12054.264,7.898826,-3.690974,-11.76623,464.24932,0,0,0,0,0
3.8,222.03516,4.5009577,-898.59634,57.157768,2.4596737,0.080112169,0.051833657,0.022737459,-0.030872508,-0.017949191,0.0045271748,0.010335017,-0.027009902,-0.0021017916,0.0052646267,0.17010794,-0.027014565,-0.0020751966,0.0051675087,0.1979778,0,0,0.023902575,0.0051770574,0.16975605,57.178575,898.59634,1200,480.12491,nan,nan,0,900,60,1835.3868,-896.37133,-31.222855,-12037.879,8.0670624,-3.4820335,-11.349028,480.12491,0,0,0,0,0
3.9,227.7483,4.7493279,-898.58927,57.102363,2.5099485,0.060458482,0.05009223,0.023128402,-0.029837367,-0.017322176,0.0043277994,0.0099192826,-0.027021653,-0.0020400173,0.0050530527,0.17574369,-0.027027497,-0.002011271,0.0049596413,0.20366341,0,0,0.023968836,0.0049565637,0.16958758,57.121832,898.58927,1200,496.03189,nan,nan,0,900,60,1831.7471,-893.95952,-29.763583,-12022.3,8.1055656,-3.2945801,-10.880707,496.03189,0,0,0,0,0
