time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,rocket_aero_fx,rocket_aero_fy,rocket_aero_fz,rocket_aero_mx,rocket_aero_my,rocket_aero_mz,solid_motor_fx,solid_motor_fy,solid_motor_fz,solid_motor_mx,solid_motor_my,solid_motor_mz
0.9,4.0995048,0.19408414,-90.369072,7.7166801,0.54421985,-168.9995,-0.014383979,1.5243458,-0.014392053,-7.1213643e-21,-0.14482845,-0.0010848737,0.00035447084,2.0179152e-22,-0.00010172974,0.83595552,0.00042642421,5.0105861e-22,-0.00010765975,1,-0.0017815748,0.00039906396,-0.036287966,-0.013870559,0.49721303,169.02606,90.369072,520,91000,1.4660766,nan,0,nan,nan,17347.698,-1020.0446,566.1511,1479.8906,9.0100252e-19,2372.0667,-91.249695,90999.848,-36.314762,-162.12322,0,-405.30805,90.786904
0.93,4.3355275,0.21079116,-95.507456,8.0419517,0.57143647,-173.88385,-0.013927027,1.5204746,-0.013934568,-1.4575462e-20,-0.11524275,-0.0010935825,0.0013743699,5.6599882e-22,-0.00010809094,0.84552731,0.0026116563,9.6949588e-22,-0.00011402912,1,-0.0050913483,0.00039990227,-0.038573947,-0.013273826,0.51161774,173.9128,95.507456,520,90950,1.4660766,nan,0,nan,nan,18356.206,-1079.3449,573.31479,1662.4169,2.488654e-18,1960.6101,-91.327357,90948.814,-36.370639,-463.05613,0,-1157.6403,90.926598
0.96,4.5814343,0.22831795,-100.79227,8.3759331,0.59888089,-178.76107,-0.013679937,1.5171588,-0.013687146,-5.6301602e-21,-0.10791053,-0.0011009194,0.0022955224,7.1275744e-22,-0.00011443762,0.8545406,0.0027194823,3.5460782e-22,-0.00012034103,1,-0.0079410854,0.00040000428,-0.040341916,-0.012706671,0.52600571,178.79298,100.79227,520,90900,1.4660766,nan,0,nan,nan,19390.988,-1140.1901,579.78176,1834.6634,2.8884518e-18,1862.5283,-91.225566,90897.127,-36.359242,-721.83708,0,-1804.5927,90.898104
0.99,4.8375963,0.24667085,-106.2233,8.7297256,0.62651658,-183.63051,-0.013486807,1.5139347,-0.013493721,-3.5360331e-22,-0.10660179,-0.0011067914,0.0023353853,4.6960726e-22,-0.00012072146,0.86302798,0.0021572436,2.1121218e-23,-0.00012654682,1,-0.0077099871,0.00039932953,-0.041992035,-0.012167111,0.54037561,183.66613,106.2233,520,90850,1.4660766,nan,0,nan,nan,20451.737,-1202.5622,585.55866,2014.3044,1.8940159e-18,1910.6293,-90.950921,90847.293,-36.278008,-700.44539,0,-1751.1135,90.695021
1.02,5.1047913,0.26585508,-111.80029,9.1141222,0.65430749,-188.49147,-0.013337249,1.5108018,-0.013343908,1.6595876e-21,-0.10114508,-0.0011112852,0.0021507245,9.7406798e-23,-0.00012690222,0.87102013,0.002050738,-9.4149293e-23,-0.00013261686,1,-0.0067659044,0.00039787711,-0.043469226,-0.011653166,0.55472612,188.53178,111.80029,520,90800,1.4660766,nan,0,nan,nan,21538.135,-1266.4423,590.64396,2196.6032,3.5545979e-19,1907.6194,-90.505786,90797.915,-36.126414,-614.33943,0,-1535.8486,90.316035
1.05,5.3839385,0.28587479,-117.52298,9.5276666,0.68221756,-193.34381,-0.013247753,1.5078757,-0.013254244,1.1730693e-20,-0.093365914,-0.0011144812,0.0021707114,-1.9678709e-22,-0.00013294786,0.87854595,0.0022740457,-6.3293962e-22,-0.00013852274,1,-0.0064741612,0.00039567582,-0.044671325,-0.011163007,0.56905714,193.38988,117.52298,520,90750,1.4660766,nan,0,nan,nan,22649.948,-1331.8169,595.03738,2373.9791,-1.2775431e-18,1845.6508,-89.8927,90748.091,-35.906827,-587.52603,0,-1468.8151,89.767067
1.08,5.6758442,0.30673306,-123.39113,9.965726,0.71021087,-198.18761,-0.013212291,1.5051737,-0.013218708,8.3156342e-21,-0.086570458,-0.0011163966,0.0023134114,-3.8994287e-22,-0.00013882604,0.88563264,0.0024470733,-4.2730026e-22,-0.00014422979,1,-0.0065457514,0.00039275341,-0.045609383,-0.010695038,0.58336904,198.24051,123.39113,520,90700,1.4660766,nan,0,nan,nan,23786.976,-1398.6742,598.74328,2545.2353,-2.1113624e-18,1782.1014,-89.116635,90698.05,-35.62197,-593.69541,0,-1484.2385,89.054925
1.11,5.981208,0.32843189,-129.40448,10.426237,0.73825186,-203.02286,-0.013215666,1.5026553,-0.013222092,-7.3690967e-21,-0.081091374,-0.001117041,0.0024260011,1.746322e-23,-0.00014450246,0.89230584,0.0025048355,3.6107802e-22,-0.00014970303,1,-0.0065323,0.000389132,-0.046336705,-0.010247852,0.59766189,203.0837,129.40448,520,90650,1.4660766,nan,0,nan,nan,24948.998,-1467.0011,601.7684,2711.922,3.5155328e-19,1736.1286,-88.183957,90648.059,-35.274062,-592.14878,0,-1480.3719,88.185156
1.14,6.3006959,0.35097221,-135.56275,10.908726,0.7663055,-207.84943,-0.013248052,1.5002929,-0.013254556,1.9037237e-22,-0.07607486,-0.0011164437,0.0024911671,3.5438539e-23,-0.00014994378,0.89858966,0.0025434442,-8.9056194e-24,-0.00015491112,1,-0.0063954286,0.00038483656,-0.046884695,-0.0098201745,0.61193562,207.91938,135.56275,520,90600,1.4660766,nan,0,nan,nan,26135.778,-1536.7837,604.12023,2874.4086,1.7450245e-19,1696.2016,-87.101416,90598.14,-34.865479,-579.42188,0,-1448.5547,87.163696
1.17,6.6349586,0.37435391,-141.86571,11.412479,0.79433726,-212.66724,-0.013304973,1.4980793,-0.013311623,-3.1901165e-21,-0.071182923,-0.0011146424,0.0025492277,9.6588197e-24,-0.00015511922,0.90450683,0.0026073315,1.4263982e-22,-0.00015982566,1,-0.006245653,0.00037989775,-0.047265461,-0.0094108397,0.62619019,212.74753,141.86571,520,90550,1.4660766,nan,0,nan,nan,27347.078,-1608.0082,605.80717,3031.9316,1.7233071e-19,1653.3266,-85.876176,90548.227,-34.39907,-565.5402,0,-1413.8505,85.997674
