time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r,elevator,aileron,rudder,throttle,elevator_cmd,aileron_cmd,rudder_cmd,throttle_cmd,tvc_pitch,tvc_yaw,alpha,beta,mach,airspeed,altitude,mass,thrust,pitch_sp,roll_sp,heading_sp,altitude_sp,speed_sp,qbar,aircraft_aero_fx,aircraft_aero_fy,aircraft_aero_fz,aircraft_aero_mx,aircraft_aero_my,aircraft_aero_mz,turbojet_fx,turbojet_fy,turbojet_fz,turbojet_mx,turbojet_my,turbojet_mz
3.4,196.13211,0,-809.28575,55.550606,0,-3.7175922,0,0.096224113,0,0,0.0092357284,0,-0.030723767,0,0,0.2459163,-0.030785586,0,0,0.29241007,0,0,0.029401131,0,0.16512208,55.674862,809.28575,1200,698.35141,nan,nan,0,1000,60,1755.3957,-804.05259,0,-12169.673,0,-3.5291159,0,698.35141,0,0,0,0,0
3.5,201.68216,0,-809.65883,55.445293,0,-3.7451893,0,0.097138581,0,0,0.0090450756,0,-0.030859788,0,0,0.25532291,-0.03092047,0,0,0.30194562,0,0,0.029693562,0,0.16481664,55.571638,809.65883,1200,725.04572,nan,nan,0,1000,60,1748.8287,-798.06915,0,-12159.034,0,-3.4229794,0,725.04572,0,0,0,0,0
3.6,207.22176,0,-810.03463,55.341861,0,-3.7720697,0,0.098034266,0,0,0.008860394,0,-0.03099345,0,0,0.264754,-0.031053133,0,0,0.31149101,0,0,0.029980092,0,0.16451669,55.470263,810.03463,1200,751.80806,nan,nan,0,1000,60,1742.3901,-792.21094,0,-12148.323,0,-3.3121774,0,751.80806,0,0,0,0,0
3.7,212.7511,0,-810.41309,55.240327,0,-3.7982373,0,0.098911771,0,0,0.0086817654,0,-0.031125014,0,0,0.27420667,-0.031183798,0,0,0.32104367,0,0,0.030261407,0,0.16422227,55.370753,810.41309,1200,778.63012,nan,nan,0,1000,60,1736.08,-786.47086,0,-12137.641,0,-3.2029752,0,778.63012,0,0,0,0,0
3.8,218.27039,0,-810.79413,55.140703,0,-3.823703,0,0.099771693,0,0,0.0085089852,0,-0.031254665,0,0,0.28367804,-0.031312618,0,0,0.33060109,0,0,0.030538052,0,0.16393342,55.273121,810.79413,1200,805.5038,nan,nan,0,1000,60,1729.8986,-780.84318,0,-12127.067,0,-3.09954,0,805.5038,0,0,0,0,0
3.9,223.7798,0,-811.17768,55.043002,0,-3.8484837,0,0.1006146,0,0,0.0083416655,0,-0.031382517,0,0,0.29316535,-0.031439675,0,0,0.34016078,0,0,0.030810432,0,0.16365018,55.177377,811.17768,1200,832.42115,nan,nan,0,1000,60,1723.8461,-775.32353,0,-12116.665,0,-3.0043896,0,832.42115,0,0,0,0,0
4,229.27954,0,-811.56368,54.947235,0,-3.8726008,0,0.10144102,0,0,0.0081793143,0,-0.031508625,0,0,0.30266586,-0.031565002,0,0,0.34972031,0,0,0.031078827,0,0.16337257,55.083534,811.56368,1200,859.37444,nan,nan,0,1000,60,1717.9226,-769.90876,0,-12106.481,0,-2.9187896,0,859.37444,0,0,0,0,0
4.1,234.76979,0,-811.95206,54.853411,0,-3.8960782,0,0.10225141,0,0,0.0080213957,0,-0.031632993,0,0,0.3121769,-0.031688584,0,0,0.35927726,0,0,0.031343401,0,0.16310064,54.991601,811.95206,1200,886.35604,nan,nan,0,1000,60,1712.128,-764.59687,0,-12096.545,0,-2.8430935,0,886.35604,0,0,0,0,0
4.2,240.25075,0,-812.34276,54.761538,0,-3.9189423,0,0.10304621,0,0,0.0078673719,0,-0.031755591,0,0,0.32169584,-0.031810373,0,0,0.36882929,0,0,0.031604226,0,0.16283439,54.901586,812.34276,1200,913.35853,nan,nan,0,1000,60,1706.4624,-759.38677,0,-12086.879,0,-2.7770228,0,913.35853,0,0,0,0,0
4.3,245.72262,0,-812.73571,54.671624,0,-3.9412202,0,0.10382576,0,0,0.007716732,0,-0.031876353,0,0,0.33122013,-0.031930293,0,0,0.37837407,0,0,0.031861296,0,0.16257387,54.813499,812.73571,1200,940.37459,nan,nan,0,1000,60,1700.9255,-754.27812,0,-12077.491,0,-2.7198919,0,940.37459,0,0,0,0,0
4.4,251.18558,0,-813.13087,54.583674,0,-3.9629393,0,0.10459039,0,0,0.0075690093,0,-0.031995196,0,0,0.34074725,-0.032048252,0,0,0.38790934,0,0,0.032114545,0,0.16231908,54.727345,813.13087,1200,967.39709,nan,nan,0,1000,60,1695.5173,-749.2712,0,-12068.384,0,-2.6707807,0,967.39709,0,0,0,0,0
4.5,256.63985,0,-813.52818,54.497693,0,-3.984127,0,0.10534038,0,0,0.0074237908,0,-0.032112021,0,0,0.35027473,-0.032164146,0,0,0.39743285,0,0,0.032363861,0,0.16207004,54.643131,813.52818,1200,994.41899,nan,nan,0,1000,60,1690.2376,-744.36674,0,-12059.554,0,-2.6286642,0,994.41899,0,0,0,0,0
4.6,262.08561,0,-813.92758,54.413686,0,-4.0048096,0,0.10607595,0,0,0.0072807204,0,-0.032226719,0,0,0.35980014,-0.032277864,0,0,0.40694242,0,0,0.032609099,0,0.16182677,54.560862,813.92758,1200,1021.4334,nan,nan,0,1000,60,1685.086,-739.56578,0,-12050.994,0,-2.5925046,0,1021.4334,0,0,0,0,0
4.7,267.52307,0,-814.32902,54.331655,0,-4.0250129,0,0.10679729,0,0,0.0071394977,0,-0.03233918,0,0,0.36932111,-0.032389293,0,0,0.41643589,0,0,0.032850096,0,0.16158929,54.480542,814.32902,1200,1048.4336,nan,nan,0,1000,60,1680.0624,-734.86956,0,-12042.694,0,-2.5613127,0,1048.4336,0,0,0,0,0
4.8,272.95242,0,-814.73246,54.251603,0,-4.0447612,0,0.1075046,0,0,0.0069998744,0,-0.032449289,0,0,0.37883531,-0.032498321,0,0,0.42591114,0,0,0.033086674,0,0.1613576,54.402174,814.73246,1200,1075.4129,nan,nan,0,1000,60,1675.1664,-730.27946,0,-12034.64,0,-2.534187,0,1075.4129,0,0,0,0,0
4.9,278.37385,0,-815.13786,54.173532,0,-4.0640779,0,0.10819801,0,0,0.0068616489,0,-0.032556938,0,0,0.38834044,-0.032604838,0,0,0.43536609,0,0,0.03331865,0,0.16113171,54.325761,815.13786,1200,1102.3649,nan,nan,0,1000,60,1670.3976,-725.79687,0,-12026.821,0,-2.5103334,0,1102.3649,0,0,0,0,0
5,283.78757,0,-815.54517,54.097442,0,-4.0829849,0,0.10887766,0,0,0.0067246602,0,-0.032662017,0,0,0.39783426,-0.03270874,0,0,0.4447987,0,0,0.033545844,0,0.16091162,54.251304,815.54517,1200,1129.2831,nan,nan,0,1000,60,1665.7557,-721.4232,0,-12019.224,0,-2.4890728,0,1129.2831,0,0,0,0,0
5.1,289.19378,0,-815.95435,54.023333,0,-4.1015029,0,0.10954366,0,0,0.0065887814,0,-0.032764427,0,0,0.40731456,-0.032809928,0,0,0.45420696,0,0,0.033768077,0,0.16069734,54.178804,815.95435,1200,1156.1613,nan,nan,0,1000,60,1661.2401,-717.15981,0,-12011.834,0,-2.4698392,0,1156.1613,0,0,0,0,0
5.2,294.59267,0,-816.36537,53.951206,0,-4.1196513,0,0.11019613,0,0,0.0064539138,0,-0.032864072,0,0,0.41677918,-0.032908308,0,0,0.4635889,0,0,0.03398518,0,0.16048887,54.108263,816.36537,1200,1182.9933,nan,nan,0,1000,60,1656.8504,-713.00795,0,-12004.641,0,-2.4521714,0,1182.9933,0,0,0,0,0
5.3,299.98444,0,-816.77818,53.881058,0,-4.1374485,0,0.11083515,0,0,0.0063199816,0,-0.032960861,0,0,0.42622599,-0.033003794,0,0,0.47294258,0,0,0.03419699,0,0.1602862,54.039679,816.77818,1200,1209.7731,nan,nan,0,1000,60,1652.5861,-708.96882,0,-11997.632,0,-2.4357025,0,1209.7731,0,0,0,0,0
5.4,305.3693,0,-817.19276,53.812888,0,-4.1549116,0,0.11146082,0,0,0.006186927,0,-0.033054712,0,0,0.43565289,-0.033096305,0,0,0.48226611,0,0,0.034403357,0,0.16008934,53.973051,817.19276,1200,1236.4947,nan,nan,0,1000,60,1648.4467,-705.04348,0,-11990.796,0,-2.4201461,0,1236.4947,0,0,0,0,0
5.5,310.74742,0,-817.60907,53.746694,0,-4.1720567,0,0.11207322,0,0,0.0060547058,0,-0.033145547,0,0,0.44505784,-0.033185769,0,0,0.4915576,0,0,0.034604139,0,0.15989828,53.908378,817.60907,1200,1263.1524,nan,nan,0,1000,60,1644.4316,-701.2329,0,-11984.124,0,-2.4052838,0,1263.1524,0,0,0,0,0
5.6,316.11903,0,-818.02707,53.682473,0,-4.188899,0,0.11267245,0,0,0.0059232845,0,-0.033233297,0,0,0.45443881,-0.033272116,0,0,0.50081523,0,0,0.034799206,0,0.15971301,53.845657,818.02707,1200,1289.7404,nan,nan,0,1000,60,1640.5403,-697.53793,0,-11977.606,0,-2.390952,0,1289.7404,0,0,0,0,0
5.7,321.4843,0,-818.44675,53.62022,0,-4.2054527,0,0.11325856,0,0,0.0057926375,0,-0.033317896,0,0,0.46379384,-0.033355284,0,0,0.51003719,0,0,0.034988436,0,0.15953352,53.784885,818.44675,1200,1316.253,nan,nan,0,1000,60,1636.7721,-693.95932,0,-11971.234,0,-2.3770307,0,1316.253,0,0,0,0,0
5.8,326.84344,0,-818.86807,53.559933,0,-4.2217313,0,0.11383165,0,0,0.0056627444,0,-0.033399285,0,0,0.47312096,-0.033435217,0,0,0.51922171,0,0,0.03517172,0,0.1593598,53.726059,818.86807,1200,1342.6848,nan,nan,0,1000,60,1633.1264,-690.49771,0,-11965,0,-2.3634332,0,1342.6848,0,0,0,0,0
5.9,332.19665,0,-819.29101,53.501605,0,-4.2377473,0,0.11439178,0,0,0.0055335894,0,-0.03347741,0,0,0.48241828,-0.033511861,0,0,0.52836705,0,0,0.035348956,0,0.15919185,53.669174,819.29101,1200,1369.0303,nan,nan,0,1000,60,1629.6026,-687.15364,0,-11958.898,0,-2.3500974,0,1369.0303,0,0,0,0,0
6,337.54412,0,-819.71553,53.445233,0,-4.2535127,0,0.11493904,0,0,0.0054051593,0,-0.033552221,0,0,0.49168392,-0.033585171,0,0,0.53747151,0,0,0.035520052,0,0.15902964,53.614227,819.71553,1200,1395.2842,nan,nan,0,1000,60,1626.2,-683.92756,0,-11952.921,0,-2.3369791,0,1395.2842,0,0,0,0,0
6.1,342.88604,0,-820.14162,53.390811,0,-4.2690388,0,0.11547348,0,0,0.005277443,0,-0.033623673,0,0,0.50091603,-0.033655103,0,0,0.5465334,0,0,0.035684922,0,0.15887316,53.561211,820.14162,1200,1421.4414,nan,nan,0,1000,60,1622.9178,-680.81985,0,-11947.062,0,-2.3240462,0,1421.4414,0,0,0,0,0
6.2,348.22261,0,-820.56926,53.338331,0,-4.2843362,0,0.11599519,0,0,0.0051504311,0,-0.033691726,0,0,0.51011282,-0.033721618,0,0,0.5555511,0,0,0.035843491,0,0.1587224,53.510122,820.56926,1200,1447.4966,nan,nan,0,1000,60,1619.7555,-677.83078,0,-11941.318,0,-2.3112744,0,1447.4966,0,0,0,0,0
